"m","p","n","N","s","q","cd2_canonical","cd2_opt","comp_opt_min","comp_opt_median","comp_opt_max","lhd_best300","seconds"
3,2,1,8,7,2,0.557841191940755,0.557841191940755,0.595160970311505,0.622699496851937,0.656506446650195,0.366941609802936,0.186588764190674
3,2,2,8,7,4,0.462772623307271,0.401129362641082,0.400397622206041,0.408334452138659,0.435414169937078,0.366969043376262,1.84252905845642
4,2,1,16,15,2,1.37798781776944,1.37798781776944,1.4823301191203,1.51692436784503,1.56336277614177,1.00304275434787,0.33997654914856
4,2,2,16,35,4,19.9180571551328,11.151135700512,11.1729225871513,11.1838520199996,11.2031436775811,11.2543400672544,13.0861485004425
4,2,3,16,15,8,1.67414787359394,0.948569290061645,0.949268793548076,0.954160861489732,0.956786303556879,1.00473394072986,14.2273952960968
5,2,1,32,31,2,6.23475452067441,6.23475452067441,6.63076355630155,6.68248009119385,6.74229701318263,5.09322235368467,1.26920056343079
5,2,2,32,155,4,1634230615.37248,3889609.55564772,3889609.56592237,3894027.06959353,3897214.37408425,4265642.8694319,143.736535072327
5,2,3,32,155,8,51222478174.7778,3512358.63194265,3511721.33550976,3512068.33527655,3512304.75753763,4170219.19717697,273.557334899902
5,2,4,32,31,16,19.9790411125265,4.79720414860629,4.79544441078197,4.79908914853874,4.80119290727421,5.11097985956604,309.490622758865
2,3,1,9,4,3,0.223737788605152,0.222180690992216,0.236470163935412,0.247800538501377,0.264910328915916,0.148636201464074,0.274927616119385
3,3,1,27,13,3,0.652362234078412,0.630785424310615,0.695893370827782,0.7055481370471,0.713168984079808,0.577616662315441,1.72058820724487
3,3,2,27,13,9,0.92465177462039,0.514453116995671,0.523725487299047,0.527122260724583,0.531157636691994,0.574701039245138,24.5548164844513
2,5,1,25,6,5,0.191939534777668,0.187521476122462,0.209108071940103,0.212535028349513,0.216620149429057,0.149940088396136,11.8921778202057
